Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker
Some Balance,12,Paid Up,Home Related,776,None,< 1yr,4,None,2,1,28,Other Banks/Depts,2,1,1,1,1,1
No Account,16,No Problems (in this bank),Home Related,1175,None,< 1yr,2,None,3,3,68,Other Banks/Depts,3,More than 1,1,1,2,1
Some Balance,12,Paid Up,Home Related,2133,£100-£1000,4-7 yrs,4,None,4,4,52,Other Banks/Depts,3,1,1,1,2,1
Some Balance,30,No Problems (in this bank),Home Related,4530,None,1-4 yrs,4,None,4,3,26,Other Banks/Depts,1,1,1,1,2,1
No Account,18,No Problems (in this bank),Home Related,1887,£100-£1000,< 1yr,4,None,4,1,28,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,12,No Problems (in this bank),Home Related,1264,£100-£1000,4-7 yrs,4,None,4,4,57,Other Banks/Depts,1,1,1,1,1,1
Some Balance,15,No Problems (in this bank),Home Related,1532,< £100,< 1yr,4,None,3,3,31,Other Banks/Depts,2,1,1,1,1,1
Some Balance,6,No Problems (in this bank),Home Related,935,None,< 1yr,3,None,2,1,24,Other Banks/Depts,2,1,1,1,1,1
No Account,27,No Problems (in this bank),Home Related,2442,None,4-7 yrs,4,None,4,3,43,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,39,No Problems (in this bank),Used car,14179,£100-£1000,1-4 yrs,4,None,4,2,30,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,618,None,4-7 yrs,4,None,4,1,56,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,Paid Up,Used car,1574,None,< 1yr,4,None,2,1,50,Other Banks/Depts,2,1,1,1,1,1
Some Balance,36,Paid Up,New car,4686,None,< 1yr,2,None,2,4,32,Other Banks/Depts,3,1,1,1,2,1
No Account,9,Paid Up,Home Related,790,£100-£1000,< 1yr,4,None,3,1,66,Other Banks/Depts,2,1,1,1,1,1
No Account,14,Paid Up,Home Related,3973,None,< 1yr,1,None,4,4,22,Other Banks/Depts,3,1,1,1,1,1
No Account,20,No Problems (in this bank),Home Related,2629,None,< 1yr,2,None,3,3,29,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,18,Paid Up,Home Related,1941,£100-£1000,< 1yr,4,None,2,2,35,Other Banks/Depts,2,1,1,1,2,1
No Account,24,No Problems (in this bank),Used car,2333,£100-£1000,< 1yr,4,None,2,2,29,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,Paid Up,New car,2445,£100-£1000,< 1yr,2,None,4,3,26,Other Banks/Depts,1,1,1,1,2,1
No Account,20,Paid Up,New car,6468,£100-£1000,< 1yr,1,None,4,1,60,Other Banks/Depts,2,1,1,1,2,1
Some Balance,15,Paid Up,New car,3812,< £100,< 1yr,1,None,4,3,23,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,New car,2028,£100-£1000,< 1yr,4,None,2,3,30,Other Banks/Depts,2,1,1,1,1,1
Some Balance,15,Paid Up,Home Related,5324,£100-£1000,4-7 yrs,1,None,4,4,35,Other Banks/Depts,3,1,1,1,1,1
Some Balance,12,Paid Up,Home Related,1393,None,4-7 yrs,4,None,4,2,47,Other Banks/Depts,2,More than 1,1,2,2,1
Some Balance,36,Paid Up,Home Related,7409,£100-£1000,4-7 yrs,3,None,2,2,37,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,15,Paid Up,Used car,2186,£100-£1000,1-4 yrs,1,None,4,1,33,Other Banks/Depts,1,1,1,1,1,1
Some Balance,18,Paid Up,Used car,3422,None,4-7 yrs,4,None,4,2,47,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,18,Paid Up,Home Related,3872,None,< 1yr,2,None,4,3,67,Other Banks/Depts,2,1,1,1,2,1
Some Balance,27,Paid Up,Home Related,5190,£100-£1000,4-7 yrs,4,None,4,2,48,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,18,Paid Up,Used car,3001,None,1-4 yrs,2,None,4,1,40,Other Banks/Depts,1,1,1,1,1,1
Some Balance,24,No Problems (in this bank),Home Related,3863,None,< 1yr,1,None,2,4,32,Other Banks/Depts,3,1,1,1,1,1
Some Balance,12,No Problems (in this bank),Used car,1592,£100-£1000,1-4 yrs,3,None,2,2,35,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,No Problems (in this bank),Used car,3780,None,< 1yr,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,Paid Up,Home Related,1076,None,< 1yr,2,None,2,1,26,Other Banks/Depts,2,1,1,1,2,1
Some Balance,18,Paid Up,Home Related,2051,None,< 1yr,4,None,1,1,33,Other Banks/Depts,2,1,1,1,1,1
No Account,18,Some Problems,Home Related,3104,None,1-4 yrs,3,None,1,2,31,Other Banks/Depts,2,1,1,1,2,1
Some Balance,24,No Problems (in this bank),Home Related,2611,None,4-7 yrs,4,Yes,3,1,46,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,12,Paid Up,Home Related,1680,£100-£1000,4-7 yrs,3,None,1,1,35,Other Banks/Depts,2,1,1,1,1,1
Some Balance,6,Paid Up,Home Related,1595,None,1-4 yrs,3,None,2,2,51,Other Banks/Depts,2,1,1,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,2058,None,< 1yr,4,None,2,1,33,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,24,Paid Up,New car,7814,None,1-4 yrs,3,None,3,3,38,Other Banks/Depts,2,1,1,1,2,1
Some Balance,6,No Problems (in this bank),Home Related,1740,None,4-7 yrs,2,None,2,1,30,Other Banks/Depts,1,More than 1,1,1,1,1
Some Balance,24,No Problems (in this bank),New car,6842,£100-£1000,< 1yr,2,None,4,2,46,Other Banks/Depts,2,More than 1,1,2,2,1
Some Balance,24,No Problems (in this bank),Used car,5150,None,4-7 yrs,4,None,4,3,33,Other Banks/Depts,2,1,1,1,2,1
Some Balance,6,No Problems (in this bank),Home Related,2080,£100-£1000,< 1yr,1,None,2,3,24,Other Banks/Depts,2,1,1,1,1,1
No Account,24,No Problems (in this bank),Home Related,3878,< £100,< 1yr,4,None,2,3,37,Other Banks/Depts,2,1,1,1,2,1
Some Balance,36,Paid Up,Home Related,1819,None,< 1yr,4,None,4,4,37,Other Banks/Depts,3,1,1,1,2,1
Some Balance,36,No Problems (in this bank),Used car,7127,None,< 1yr,2,None,4,2,23,Other Banks/Depts,1,More than 1,1,1,2,1
Some Balance,36,Paid Up,Used car,3349,None,< 1yr,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1
Some Balance,36,Paid Up,Used car,10974,None,< 1yr,4,None,2,3,26,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,6,Paid Up,Home Related,518,None,< 1yr,3,None,1,1,29,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,Paid Up,Home Related,1126,£100-£1000,< 1yr,4,None,2,1,21,Other Banks/Depts,1,1,1,1,2,1
Some Balance,18,Paid Up,Home Related,1505,None,< 1yr,4,None,2,4,32,Other Banks/Depts,3,1,1,1,2,1
Some Balance,4,No Problems (in this bank),Home Related,1503,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1
Some Balance,12,Paid Up,Home Related,1881,None,< 1yr,2,None,2,3,44,Other Banks/Depts,1,1,1,1,2,1
No Account,18,No Problems (in this bank),Home Related,1880,None,1-4 yrs,4,None,1,2,32,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,18,Paid Up,Home Related,2389,None,< 1yr,4,None,1,3,27,Other Banks/Depts,2,1,1,1,1,1
Some Balance,4,No Problems (in this bank),Home Related,1455,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1
No Account,18,Some Problems,Used car,3244,None,< 1yr,1,None,4,3,33,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,48,Paid Up,Home Related,3979,£100-£1000,1-4 yrs,4,None,1,3,41,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,12,Paid Up,Used car,1922,None,< 1yr,4,None,2,2,37,Other Banks/Depts,2,1,1,1,1,1
No Account,18,No Problems (in this bank),Used car,1295,None,< 1yr,4,None,1,2,27,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,30,Paid Up,Home Related,1715,£100-£1000,< 1yr,4,None,1,3,26,Other Banks/Depts,2,1,1,1,1,1
Some Balance,10,No Problems (in this bank),Home Related,1347,£100-£1000,1-4 yrs,4,None,2,2,27,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,12,Paid Up,Home Related,1007,£100-£1000,< 1yr,4,None,1,1,22,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,No Problems (in this bank),Home Related,2096,None,1-4 yrs,2,None,3,1,49,Other Banks/Depts,2,1,1,2,1,1
Some Balance,12,Paid Up,Home Related,1101,None,< 1yr,3,None,2,1,27,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,10,Paid Up,Home Related,894,£100-£1000,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,1,1,1,2,1
No Account,48,Some Problems,Home Related,8358,£100-£1000,< 1yr,1,None,1,3,30,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,60,Paid Up,Home Related,7408,< £100,< 1yr,4,None,2,2,24,Other Banks/Depts,2,1,1,1,1,1
No Account,36,No Problems (in this bank),Home Related,9857,< £100,1-4 yrs,1,None,3,2,31,Other Banks/Depts,2,More than 1,1,2,2,1
Some Balance,12,No Problems (in this bank),Used car,1935,None,4-7 yrs,4,None,4,1,43,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,48,Paid Up,Home Related,10222,£100-£1000,1-4 yrs,4,None,3,3,37,Other Banks/Depts,2,1,1,1,2,1
Some Balance,36,Paid Up,Home Related,9055,£100-£1000,< 1yr,2,None,4,4,35,Other Banks/Depts,3,1,1,2,2,1
No Account,30,Some Problems,Used car,3496,£100-£1000,< 1yr,4,None,2,3,34,Other Banks/Depts,2,1,1,2,2,1
No Account,36,Paid Up,Used car,3446,None,4-7 yrs,4,None,2,3,42,Other Banks/Depts,2,1,1,2,1,1
No Account,12,Paid Up,Home Related,684,None,< 1yr,4,None,4,3,40,Other Banks/Depts,1,1,1,2,1,1
No Account,24,Paid Up,Used car,2359,< £100,< 1yr,1,None,1,2,33,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,Paid Up,Home Related,3621,< £100,4-7 yrs,2,None,4,3,31,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,12,Paid Up,Home Related,741,< £100,< 1yr,4,None,3,2,22,Other Banks/Depts,2,1,1,1,1,1
No Account,12,Paid Up,Used car,7865,None,4-7 yrs,4,None,4,4,53,Other Banks/Depts,3,1,1,1,2,1
No Account,18,No Problems (in this bank),Home Related,5302,None,4-7 yrs,2,None,4,4,36,Other Banks/Depts,3,More than 1,1,1,2,1
No Account,18,Paid Up,Home Related,3509,None,1-4 yrs,4,Yes,1,1,25,Other Banks/Depts,2,1,1,1,1,1
No Account,12,Paid Up,Used car,1657,None,< 1yr,2,None,2,1,27,Other Banks/Depts,2,1,1,1,1,1
No Account,36,No Problems (in this bank),Used car,6229,None,< 1yr,4,Yes,4,4,23,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,30,Some Problems,Used car,4583,None,< 1yr,2,Yes,2,1,32,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,36,No Problems (in this bank),Used car,5371,None,< 1yr,3,Yes,2,2,28,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,36,Paid Up,Used car,2712,None,4-7 yrs,2,None,2,2,41,Other Banks/Depts,2,1,1,2,1,1
No Account,6,No Problems (in this bank),Used car,1050,None,< 1yr,4,None,1,2,35,Other Banks/Depts,2,More than 1,1,1,2,2
No Account,6,No Problems (in this bank),Home Related,609,None,1-4 yrs,4,None,3,2,37,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,24,Paid Up,Used car,3069,< £100,4-7 yrs,4,None,4,4,30,Other Banks/Depts,3,1,1,1,1,1
No Account,12,Paid Up,Home Related,836,< £100,< 1yr,4,None,2,2,23,Other Banks/Depts,2,1,1,1,1,1
No Account,15,Paid Up,Used car,1845,None,< 1yr,4,Yes,1,2,46,Other Banks/Depts,1,1,1,1,1,1
No Account,24,Paid Up,New car,6579,None,< 1yr,4,None,2,4,29,Other Banks/Depts,3,1,1,1,2,1
No Account,30,Paid Up,Used car,3108,None,< 1yr,2,None,4,2,31,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,No Problems (in this bank),Home Related,6314,None,< 1yr,4,Yes,2,4,27,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,12,Paid Up,Used car,3590,None,< 1yr,2,Yes,2,2,29,Other Banks/Depts,2,1,1,2,1,1
No Account,6,No Problems (in this bank),Used car,1872,None,< 1yr,4,None,4,4,36,Other Banks/Depts,3,More than 1,1,1,2,1
Some Balance,6,Paid Up,Home Related,1238,£100-£1000,< 1yr,4,None,4,2,36,Other Banks/Depts,2,1,1,2,2,1
No Account,12,Paid Up,Used car,2578,None,< 1yr,3,None,4,4,55,Other Banks/Depts,3,1,1,1,1,1
No Account,15,No Problems (in this bank),Used car,1433,None,< 1yr,4,None,3,2,25,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,42,Paid Up,Used car,7882,None,1-4 yrs,2,Yes,4,2,45,Other Banks/Depts,3,1,1,2,1,1
No Account,24,Paid Up,Used car,4169,None,< 1yr,4,None,4,2,28,Other Banks/Depts,2,1,1,1,1,1
No Account,36,Paid Up,Used car,3959,None,< 1yr,4,None,3,2,30,Other Banks/Depts,2,1,1,1,2,1
No Account,36,Paid Up,Home Related,3249,None,1-4 yrs,2,None,4,4,39,Other Banks/Depts,3,1,1,2,2,1
No Account,24,Paid Up,Used car,3149,None,< 1yr,4,None,1,4,22,Other Banks/Depts,3,1,1,1,1,1
No Account,13,No Problems (in this bank),Home Related,1797,None,< 1yr,3,None,1,2,28,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,20,No Problems (in this bank),Used car,4272,None,4-7 yrs,1,None,4,2,24,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,24,No Problems (in this bank),New car,2957,None,4-7 yrs,4,None,4,2,63,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,42,Some Problems,Home Related,6289,None,< 1yr,2,None,1,2,33,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,36,Paid Up,Home Related,15857,None,< 1yr,2,Yes,3,3,43,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,No Problems (in this bank),Home Related,2223,< £100,4-7 yrs,4,None,4,2,52,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,30,No Problems (in this bank),Home Related,2503,< £100,4-7 yrs,4,None,2,2,41,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,6,Paid Up,Home Related,368,£100-£1000,4-7 yrs,4,None,4,2,38,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,No Problems (in this bank),Home Related,2424,£100-£1000,4-7 yrs,4,None,4,2,53,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,18,No Problems (in this bank),Home Related,2427,£100-£1000,4-7 yrs,4,None,2,2,42,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,24,No Problems (in this bank),Home Related,1216,< £100,< 1yr,4,None,4,4,38,Other Banks/Depts,2,More than 1,1,2,1,1
No Account,6,Paid Up,Home Related,753,None,< 1yr,2,Yes,3,1,64,Other Banks/Depts,2,1,1,1,1,1
No Account,6,Paid Up,Home Related,590,None,< 1yr,3,None,3,1,26,Other Banks/Depts,2,1,1,1,1,2
No Account,8,No Problems (in this bank),Home Related,713,None,4-7 yrs,4,None,4,1,47,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,12,Paid Up,Home Related,1092,None,< 1yr,4,Yes,4,1,49,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,7,Paid Up,Home Related,2329,None,< 1yr,1,Yes,1,1,45,Other Banks/Depts,2,1,1,1,1,1
No Account,13,No Problems (in this bank),Home Related,882,None,< 1yr,4,Yes,4,1,23,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,7,Paid Up,Home Related,2415,None,< 1yr,3,Yes,2,1,34,Other Banks/Depts,2,1,1,1,1,1
No Account,13,Paid Up,Home Related,2101,None,< 1yr,2,Yes,4,2,23,Other Banks/Depts,2,1,1,1,1,1
No Account,18,Paid Up,Home Related,1113,None,< 1yr,4,Yes,4,1,26,Other Banks/Depts,2,1,1,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,1323,< £100,4-7 yrs,2,None,4,3,28,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,15,No Problems (in this bank),Home Related,2728,£100-£1000,1-4 yrs,4,Yes,2,1,35,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,10,Some Problems,Home Related,1048,None,< 1yr,4,None,4,1,23,Other Banks/Depts,2,1,1,1,1,1
No Account,12,Paid Up,Home Related,1155,None,4-7 yrs,3,Yes,3,1,40,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,20,No Problems (in this bank),New car,7057,£100-£1000,1-4 yrs,3,None,4,2,36,Other Banks/Depts,1,More than 1,1,2,2,1
No Account,15,No Problems (in this bank),Home Related,1537,£100-£1000,4-7 yrs,4,Yes,4,1,50,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,12,Paid Up,Home Related,2214,None,< 1yr,4,None,3,2,24,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,No Problems (in this bank),Used car,1585,None,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,10,Paid Up,Used car,1521,None,< 1yr,4,None,2,3,31,Other Banks/Depts,2,1,1,1,1,1
No Account,36,Some Problems,Home Related,3990,£100-£1000,< 1yr,3,None,2,4,29,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,Paid Up,Used car,3049,None,< 1yr,1,None,1,2,45,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,1282,< £100,< 1yr,4,None,2,3,32,Other Banks/Depts,2,1,1,1,1,1
Some Balance,60,Paid Up,Home Related,10144,< £100,1-4 yrs,2,None,4,1,21,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,Home Related,1168,None,< 1yr,4,None,3,1,27,Other Banks/Depts,2,1,1,1,1,1
Some Balance,12,Paid Up,Used car,1768,None,< 1yr,3,None,2,1,24,Other Banks/Depts,1,1,1,1,1,1
Some Balance,60,No Problems (in this bank),Home Related,15653,None,1-4 yrs,2,None,4,3,21,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,36,Paid Up,New car,8335,£100-£1000,4-7 yrs,3,None,4,4,47,Other Banks/Depts,3,1,1,1,1,1
No Account,36,No Problems (in this bank),New car,5800,None,< 1yr,3,None,4,3,34,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,18,No Problems (in this bank),Home Related,8471,£100-£1000,< 1yr,1,None,2,3,23,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,30,Paid Up,Used car,3622,£100-£1000,4-7 yrs,4,None,4,2,57,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,6,No Problems (in this bank),Home Related,1169,£100-£1000,4-7 yrs,4,None,4,1,67,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,15,Paid Up,Home Related,1262,£100-£1000,1-4 yrs,4,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,42,No Problems (in this bank),Home Related,3394,None,< 1yr,4,Yes,4,3,65,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,36,No Problems (in this bank),Home Related,6304,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,6,Paid Up,Home Related,3518,None,< 1yr,2,Yes,3,2,26,Other Banks/Depts,1,1,1,1,1,1
No Account,72,Paid Up,Home Related,5595,< £100,< 1yr,2,None,2,3,24,Other Banks/Depts,2,1,1,1,1,1
Some Balance,21,No Problems (in this bank),New car,2993,None,< 1yr,3,None,2,1,28,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,36,No Problems (in this bank),New car,8947,£100-£1000,1-4 yrs,3,None,2,3,31,Other Banks/Depts,2,1,1,2,2,1
No Account,18,Paid Up,New car,2779,None,< 1yr,1,None,3,3,21,Other Banks/Depts,1,1,1,1,2,1
No Account,42,Some Problems,New car,9283,None,< 1yr,1,None,2,4,55,Other Banks/Depts,3,1,1,1,2,1
Some Balance,15,No Problems (in this bank),New car,3368,£100-£1000,4-7 yrs,3,None,4,4,23,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,36,Paid Up,New car,5493,None,4-7 yrs,2,None,4,4,42,Other Banks/Depts,3,1,1,2,1,1
No Account,9,Paid Up,Home Related,1082,None,4-7 yrs,4,None,4,3,37,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,20,Some Problems,New car,6148,< £100,4-7 yrs,3,None,4,3,31,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,Paid Up,Home Related,3059,£100-£1000,1-4 yrs,2,None,4,1,61,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Used car,2996,£100-£1000,< 1yr,2,None,4,3,20,Other Banks/Depts,2,1,1,1,1,1
Some Balance,30,No Problems (in this bank),New car,7596,£100-£1000,4-7 yrs,1,None,4,3,63,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,6,Paid Up,Used car,1766,None,< 1yr,1,None,2,2,21,Other Banks/Depts,1,1,1,1,1,1
No Account,24,Paid Up,New car,2760,£100-£1000,4-7 yrs,4,None,4,4,36,Other Banks/Depts,3,1,1,1,2,1
No Account,9,Paid Up,Home Related,654,None,< 1yr,4,None,3,3,28,Other Banks/Depts,2,1,1,1,1,1
No Account,9,No Problems (in this bank),Home Related,1136,£100-£1000,4-7 yrs,4,None,3,4,32,Other Banks/Depts,3,More than 1,1,2,1,1
No Account,24,No Problems (in this bank),Home Related,1199,None,4-7 yrs,4,None,4,3,60,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,12,Some Problems,Home Related,1082,None,< 1yr,4,None,4,3,48,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,18,Paid Up,Home Related,2600,None,< 1yr,4,None,4,4,65,Other Banks/Depts,3,More than 1,1,1,1,1
Some Balance,21,Some Problems,Home Related,5003,£100-£1000,< 1yr,1,None,4,2,29,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,24,No Problems (in this bank),Home Related,2538,None,4-7 yrs,4,None,4,3,47,Other Banks/Depts,2,More than 1,1,2,1,1
Some Balance,9,Paid Up,Home Related,1478,None,1-4 yrs,4,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1
No Account,39,No Problems (in this bank),Home Related,4933,None,1-4 yrs,2,Yes,2,1,25,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,18,No Problems (in this bank),Home Related,1530,None,< 1yr,3,None,2,2,32,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,15,Paid Up,Home Related,1275,£100-£1000,< 1yr,4,None,2,3,24,Other Banks/Depts,1,1,1,1,1,1
No Account,24,Paid Up,Home Related,1823,None,< 1yr,4,None,2,3,30,Other Banks/Depts,2,1,1,2,1,1
No Account,9,Paid Up,Home Related,1422,None,< 1yr,3,None,2,4,27,Other Banks/Depts,3,1,1,1,2,1
No Account,36,Paid Up,Home Related,9271,None,1-4 yrs,2,None,1,3,24,Other Banks/Depts,2,1,1,1,2,1
No Account,6,No Problems (in this bank),Used car,3384,None,< 1yr,1,None,4,1,44,Other Banks/Depts,1,1,1,1,2,1
No Account,18,No Problems (in this bank),Home Related,1245,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,1,1
Some Balance,15,Paid Up,Home Related,4623,< £100,< 1yr,3,None,2,2,40,Other Banks/Depts,2,1,1,1,2,1
No Account,30,No Problems (in this bank),Used car,8386,None,1-4 yrs,2,None,2,2,49,Other Banks/Depts,2,1,1,1,1,1
No Account,24,No Problems (in this bank),Home Related,1024,None,< 1yr,4,None,4,1,48,Other Banks/Depts,2,1,1,1,1,1
No Account,12,Some Problems,Home Related,2149,None,< 1yr,4,None,1,4,29,Other Banks/Depts,3,1,1,1,1,1
Some Balance,24,Paid Up,Home Related,2397,£100-£1000,4-7 yrs,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,6,Some Problems,Home Related,931,< £100,< 1yr,1,None,1,2,32,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Some Problems,Used car,6872,None,< 1yr,2,None,1,2,55,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,Home Related,795,None,< 1yr,4,None,4,2,53,Other Banks/Depts,2,1,1,1,1,1
No Account,36,Some Problems,Home Related,1953,None,4-7 yrs,4,None,4,4,61,Other Banks/Depts,3,1,1,1,2,1
Some Balance,21,No Problems (in this bank),Home Related,2319,None,< 1yr,2,None,1,3,33,Other Banks/Depts,1,1,1,1,1,1
No Account,24,Paid Up,Home Related,915,£100-£1000,4-7 yrs,4,None,2,3,29,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,1381,£100-£1000,< 1yr,4,None,2,2,35,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,1285,£100-£1000,1-4 yrs,4,None,4,4,32,Other Banks/Depts,1,1,1,1,1,1
No Account,18,Paid Up,Home Related,1042,£100-£1000,< 1yr,4,None,2,2,33,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,1207,None,< 1yr,4,None,4,2,24,Other Banks/Depts,1,1,1,1,1,1
No Account,18,Some Problems,Home Related,2278,< £100,< 1yr,3,None,3,3,28,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,24,Paid Up,Used car,3345,None,4-7 yrs,4,None,2,2,39,Other Banks/Depts,1,1,1,1,2,1
No Account,6,Some Problems,Home Related,1198,None,4-7 yrs,4,None,4,4,35,Other Banks/Depts,3,1,1,1,1,1
Some Balance,18,Paid Up,Home Related,1943,None,< 1yr,4,None,4,1,23,Other Banks/Depts,2,1,1,1,1,1
No Account,18,Paid Up,Home Related,3190,None,< 1yr,2,None,2,1,24,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,No Problems (in this bank),Used car,1808,None,1-4 yrs,4,None,1,1,22,Other Banks/Depts,2,1,1,1,1,1
No Account,8,Paid Up,Used car,1237,None,< 1yr,3,None,4,1,24,Other Banks/Depts,2,1,1,1,1,1
No Account,48,Paid Up,Home Related,10961,£100-£1000,1-4 yrs,1,Yes,2,4,27,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,24,Paid Up,Home Related,1938,None,< 1yr,4,None,3,2,32,Other Banks/Depts,2,1,1,1,1,1
No Account,21,Paid Up,Home Related,1835,None,< 1yr,3,None,2,1,25,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,24,No Problems (in this bank),Home Related,1659,None,< 1yr,4,None,2,3,29,Other Banks/Depts,1,1,1,1,2,1
No Account,6,No Problems (in this bank),Home Related,1209,None,< 1yr,4,None,4,2,47,Other Banks/Depts,2,1,1,1,2,1
No Account,48,Some Problems,Home Related,3844,< £100,1-4 yrs,4,None,4,4,34,Other Banks/Depts,3,1,1,2,1,1
No Account,12,No Problems (in this bank),Home Related,4843,None,4-7 yrs,3,Yes,4,2,43,Other Banks/Depts,1,More than 1,1,1,2,1
Some Balance,36,No Problems (in this bank),Home Related,4463,None,< 1yr,4,None,2,3,26,Other Banks/Depts,2,More than 1,1,1,2,1
